dni,nombre,apellido,fecha_nacimiento,sexo,correo,telefono,tipo_seguro,fecha_registro
98574949,Christine,Thomas,1977-06-09,F,lisaweiss@example.com,952165932,Privado,2022-07-07
14141053,Paul,Curry,1950-03-23,F,nicholas10@example.net,900310663,Essalud,2025-02-04
76871460,Greg,Martin,1958-04-28,M,angelachambers@example.net,900124488,SIS,2025-01-24
75312441,Cynthia,Buck,2001-01-03,F,kyleanderson@example.net,988491164,Essalud,2021-11-03
89812095,Chelsea,Watts,1947-09-12,M,christopherwalker@example.com,942300296,Essalud,2025-03-06
17052264,Angelica,Stewart,1982-03-14,M,bonillajohn@example.com,900437589,Ninguno,2021-07-02
15695521,George,Gross,1986-04-18,M,heatherkelley@example.com,979962884,Ninguno,2024-10-12
88729613,Brittany,Harding,1940-10-13,F,ortizjordan@example.net,968976729,Essalud,2021-12-19
85971103,Troy,Peters,1995-12-07,M,vgarcia@example.com,949730049,SIS,2020-01-01
10296327,William,Torres,2003-08-17,M,donaldbrown@example.org,909827908,SIS,2024-04-24
55750689,Kylie,Marquez,1991-08-13,F,wshort@example.net,984571673,SIS,2021-01-24
57290676,Courtney,Bailey,1963-02-28,F,rebeccadavila@example.net,982877929,SIS,2024-04-06
98837329,Stephanie,Brown,2003-12-22,F,cassandrahill@example.org,943545096,Ninguno,2023-06-02
70643188,Laurie,Watson,1993-04-26,M,caroline52@example.org,954353641,Essalud,2020-12-28
85574381,Elizabeth,Collins,1940-06-23,M,tracy11@example.org,955285832,SIS,2022-10-19
98014557,Mitchell,Austin,1940-10-09,M,hgomez@example.org,921744249,Privado,2023-10-01
32617394,Paige,Wilson,2002-02-25,M,mary81@example.org,911841787,Privado,2023-06-07
68499957,Terri,Arroyo,1984-09-30,F,sarahmiller@example.com,947879219,Essalud,2022-05-19
44213792,Amanda,Carlson,1967-09-07,F,jsullivan@example.org,900174971,Essalud,2022-10-06
20375614,Cynthia,Thomas,2001-07-06,F,blackpaul@example.org,928650117,Essalud,2020-10-11
92864203,Michelle,Gibbs,1978-06-06,M,claytonterry@example.net,991351636,Privado,2020-12-16
32952749,Dustin,Patel,1989-02-05,F,ramirezmatthew@example.net,985799792,Ninguno,2024-11-02
60324900,Paul,Blake,1972-08-17,M,collinsdawn@example.com,959937762,Essalud,2022-04-17
71233343,Ryan,Taylor,1949-01-20,M,ashleycross@example.org,940784346,Essalud,2024-01-19
57659435,Brandon,Jordan,1948-07-11,F,xwalker@example.org,956932797,Privado,2024-06-06
27372905,Elizabeth,Smith,1944-10-30,M,bhanson@example.net,919214474,Essalud,2020-02-24
92943704,Patricia,Mathews,2005-12-22,F,dawn16@example.org,913028900,Ninguno,2024-11-21
55015673,Matthew,Mclean,1981-02-01,F,klinedaniel@example.net,910125554,Ninguno,2023-02-28
65238220,Matthew,Allen,1945-06-29,M,careykyle@example.net,905171605,Essalud,2020-01-29
74181410,Stephanie,Conner,1947-04-29,F,kenneth49@example.net,936913634,Essalud,2023-11-05
36735723,Melanie,Smith,1953-04-09,F,quinnanthony@example.net,982468261,SIS,2021-06-20
54656758,Robert,Rogers,1947-07-02,F,jennifer27@example.org,962063286,Privado,2022-04-18
30502975,Wendy,Luna,1970-10-28,M,oadkins@example.com,951304246,Essalud,2024-12-18
39179764,Gary,Vasquez,1961-09-23,F,ashley23@example.com,940014903,Essalud,2022-02-20
99606198,Brittany,Hernandez,1962-11-06,F,ashley86@example.org,985716861,Essalud,2024-07-08
61702461,Michael,Vazquez,1992-12-09,M,bholmes@example.org,991730714,SIS,2023-08-07
11777582,Bruce,Coleman,1944-03-29,F,matthewwalker@example.com,907056751,Ninguno,2022-06-26
95768262,David,Carter,2004-05-01,F,karenjackson@example.net,975202900,Privado,2021-07-26
65299150,Kimberly,Dean,1962-08-30,M,vaughanshawn@example.com,963385271,Privado,2022-12-05
58363562,Kendra,Palmer,1990-04-16,F,dennis91@example.com,978147698,Essalud,2023-05-08
69631582,John,Miller,1975-06-13,F,katelynsimon@example.net,933453502,Ninguno,2021-12-30
47144356,Luis,Jones,1985-11-25,M,rodneyjohnston@example.com,967932115,Privado,2020-11-30
60999936,Jeffrey,Kelly,1941-08-20,F,rickygill@example.net,904814788,Privado,2021-12-28
81511639,Frank,Davidson,1983-03-19,F,hpierce@example.net,905855368,SIS,2022-06-08
21115319,Dean,Turner,1954-04-19,F,michaeltorres@example.com,922259633,Essalud,2024-09-07
34004890,Lisa,Colon,1967-02-02,F,jeffreycooke@example.com,925342702,Privado,2020-03-01
91880188,Michele,Bautista,1985-08-07,M,gilldavid@example.com,914126512,SIS,2020-01-29
87197378,Jessica,Hughes,1956-09-03,M,mcneilbrian@example.net,940262477,Essalud,2021-03-27
42909846,Jennifer,Smith,1990-06-16,M,johnsonmary@example.org,960714175,SIS,2022-10-03
87269737,Bill,Nguyen,1958-02-24,F,henryjohn@example.com,911686588,Ninguno,2025-02-04
57411312,Megan,Walton,1965-05-08,M,zacharylewis@example.com,990128400,SIS,2021-06-10
91209798,Ronald,Torres,1992-08-28,M,schwartzlance@example.com,991826431,Essalud,2022-03-01
32666251,Lindsay,Sanchez,1948-07-12,M,rebeccasims@example.com,918891867,Privado,2022-06-14
44400124,Lisa,Rojas,1947-01-17,F,jessica62@example.org,933368017,Ninguno,2025-05-23
23147966,Christopher,Blair,1971-06-30,M,samuelhughes@example.com,950917310,SIS,2021-07-27
27490784,Amy,Welch,2002-01-20,M,kmiddleton@example.com,981068439,Ninguno,2020-08-27
56743403,Keith,Riley,1978-01-26,F,maxwellcynthia@example.org,980693631,Privado,2021-05-24
66487814,Ian,Johnson,1959-03-15,M,buchananbrian@example.net,913615282,Ninguno,2021-10-09
49617223,Christopher,Villegas,1943-10-23,M,steverogers@example.net,973584770,Privado,2024-09-24
60005790,Brandon,Palmer,1980-12-29,F,melissacannon@example.com,979241616,Essalud,2022-03-22
60698556,Kevin,Scott,2004-05-22,F,mikegonzalez@example.org,993805965,Privado,2022-01-24
42486918,Benjamin,Scott,1977-01-20,M,smithpamela@example.com,953965919,Ninguno,2025-03-12
68040307,Edward,Taylor,1981-02-16,F,juliemarshall@example.org,951961938,Ninguno,2022-09-18
38940438,Jamie,Lester,1953-08-16,F,cphillips@example.net,950144107,Ninguno,2020-06-09
20852290,Lynn,Elliott,1940-05-17,M,tanner50@example.org,998562739,Privado,2020-11-18
19673881,Anna,Kennedy,1977-05-31,F,bruce70@example.org,924148541,Ninguno,2024-07-10
20623785,Marcus,Short,1967-07-29,F,hendrixnicole@example.com,988721540,Privado,2021-01-31
56758195,Michael,Durham,1945-03-17,M,watsonandre@example.com,988135566,SIS,2021-07-15
89348258,John,Burke,1979-07-28,F,walkeremily@example.com,946803792,Ninguno,2021-09-30
74622825,William,Ramos,1988-11-05,M,andreavasquez@example.net,901411240,Ninguno,2025-05-17
15083079,Brenda,Turner,1943-04-29,M,cynthiacardenas@example.net,913634941,Ninguno,2021-11-21
32414733,Ashley,Martin,1941-10-26,M,tonya19@example.org,938204484,SIS,2021-06-12
24484394,Megan,Perkins,1961-12-07,F,rjones@example.org,922622606,Privado,2020-04-21
86691321,Ashley,Jones,1983-09-02,F,michaelwolfe@example.net,978295616,Essalud,2024-12-25
98406748,Steven,Lamb,1948-03-30,M,victoriamills@example.com,940674870,Privado,2021-09-21
97065238,Linda,Franklin,1973-03-18,M,molly01@example.com,978123888,Essalud,2020-10-28
25821216,Rachel,Hall,1972-09-26,F,cunninghamana@example.org,976717134,SIS,2023-04-15
28606763,Angela,James,1994-05-28,F,anthonyaguilar@example.net,990103612,Ninguno,2022-06-07
88212900,Jill,Sanders,1953-08-22,M,tammy02@example.com,938887130,Ninguno,2020-03-23
81376488,Bryan,Richards,1984-02-07,M,kknight@example.org,972317560,Ninguno,2021-08-23
40221020,Joseph,Thompson,1947-04-25,F,aaronyoung@example.net,995484174,Essalud,2020-12-05
41029024,Scott,Ellison,1973-09-03,M,mbautista@example.com,942651912,Essalud,2024-02-22
62036350,Wayne,Johnson,1964-10-02,F,nicholasholmes@example.com,904751278,Privado,2023-04-12
36481369,Glenda,Dyer,2004-02-01,F,dgray@example.com,954553140,Privado,2020-01-27
70807087,Kayla,Brown,1983-03-22,F,clarkamanda@example.com,989786892,Privado,2024-04-16
79386667,Jason,Flores,1994-08-18,M,dannyford@example.org,992671397,Privado,2023-10-04
86084077,Michelle,Smith,1955-05-10,M,johnmontoya@example.net,992493998,Privado,2022-03-13
19307513,Lawrence,Anderson,1962-05-31,M,buchanannatasha@example.net,992016925,Privado,2021-07-29
50634755,Isaac,Harrison,1988-05-18,M,renee89@example.com,997460468,Ninguno,2021-10-05
80346390,Erin,Peterson,1995-04-21,F,martinezmolly@example.com,924829060,Privado,2025-05-16
89288835,James,Wright,1980-02-06,F,daniellarsen@example.com,994904929,Ninguno,2021-11-04
49652757,Vanessa,Morris,2000-05-10,F,andersonheather@example.net,948688519,Privado,2025-05-30
85773732,Marie,Carroll,1984-06-19,F,ariasamber@example.net,915886622,Privado,2024-04-15
76880554,Thomas,Simmons,2003-09-23,M,mmiller@example.com,930533480,Essalud,2022-06-15
37431955,Sean,Sharp,1960-05-05,F,davidmacdonald@example.net,973055296,Privado,2024-05-06
99238121,Brian,Charles,1963-01-14,M,sterry@example.org,994805106,Privado,2022-09-10
67746803,Cindy,Hobbs,1998-02-24,F,larellano@example.net,929044768,Ninguno,2021-05-05
63243207,Frank,Wilkinson,1963-01-26,F,lindsey93@example.com,974028366,SIS,2023-12-26
35255536,Ian,Smith,1945-06-26,M,brittany69@example.com,902609198,Essalud,2023-12-17
33071938,Matthew,Young,1965-03-07,M,timothy43@example.net,942042838,Essalud,2020-10-11
77131060,Gordon,Brown,1964-06-15,F,ybishop@example.net,978476726,Privado,2024-09-30
46785564,Tyler,Williams,1996-10-10,M,josecarson@example.net,960298292,Ninguno,2022-02-12
41999387,Karen,Freeman,1966-08-29,F,salinasadam@example.org,951735877,Essalud,2021-11-07
26242623,Kristin,Smith,1974-08-29,F,morgan55@example.com,981744585,Essalud,2024-02-11
23080788,Jacqueline,Davis,1984-09-09,F,shermankayla@example.org,920702900,Essalud,2022-01-27
