dni_medico,nombre_especialidad
20312414,Especialidad_8292
29042540,Especialidad_962
32184514,Especialidad_2131
36301134,Especialidad_4321
71492610,Especialidad_8590
62359191,Especialidad_6483
86543953,Especialidad_9670
29712080,Especialidad_8207
43639193,Especialidad_8294
64183529,Especialidad_951
13244481,Especialidad_8190
67575953,Especialidad_2226
69042846,Especialidad_7676
14422196,Especialidad_635
44834132,Especialidad_9697
37671737,Especialidad_4185
67916204,Especialidad_7195
77559906,Especialidad_2567
94663539,Especialidad_4124
90150533,Especialidad_3986
20280090,Especialidad_7802
42864234,Especialidad_9708
65673614,Especialidad_2493
79053798,Especialidad_2485
55260184,Especialidad_8617
88126299,Especialidad_5600
92155093,Especialidad_5077
53658002,Especialidad_6528
71722819,Especialidad_4215
13592070,Especialidad_2897
98673079,Especialidad_2824
38152729,Especialidad_6844
45198052,Especialidad_2223
60247985,Especialidad_4237
51234380,Especialidad_1755
39371894,Especialidad_8907
43562204,Especialidad_2050
89076069,Especialidad_5052
35902281,Especialidad_1653
74136831,Especialidad_9789
28781498,Especialidad_156
49539741,Especialidad_1411
89854586,Especialidad_6248
68806541,Especialidad_4340
67492769,Especialidad_1921
71377053,Especialidad_7769
88886257,Especialidad_3061
98810459,Especialidad_3165
39460661,Especialidad_6172
76454803,Especialidad_5773
91872582,Especialidad_749
83143069,Especialidad_4737
17446657,Especialidad_3985
15928272,Especialidad_8622
76994297,Especialidad_9209
55783652,Especialidad_2308
95183391,Especialidad_9758
80719934,Especialidad_3815
84958903,Especialidad_912
83839842,Especialidad_5581
44021734,Especialidad_5449
56335476,Especialidad_1207
66951929,Especialidad_2507
35151410,Especialidad_6595
84110058,Especialidad_9154
73327485,Especialidad_9031
92166669,Especialidad_6102
13931906,Especialidad_5774
60707968,Especialidad_6223
19865442,Especialidad_827
95476564,Especialidad_1971
97351774,Especialidad_2057
96858424,Especialidad_4178
69124685,Especialidad_2441
51039477,Especialidad_8124
15741027,Especialidad_1578
64596325,Especialidad_8482
20190140,Especialidad_8833
27093743,Especialidad_10000
82327658,Especialidad_7516
72365254,Especialidad_188
60251887,Especialidad_8371
48232533,Especialidad_2177
26238337,Especialidad_2698
24583070,Especialidad_6833
52174338,Especialidad_9391
54449099,Especialidad_268
33127265,Especialidad_1452
28393675,Especialidad_6213
76021377,Especialidad_217
37423498,Especialidad_4735
35511163,Especialidad_7410
12247304,Especialidad_7844
28719582,Especialidad_9419
34053626,Especialidad_6657
68346772,Especialidad_1192
79458974,Especialidad_1850
69382889,Especialidad_6376
26339241,Especialidad_2340
73883911,Especialidad_7530
49667790,Especialidad_4222
60178925,Especialidad_1217
61520560,Especialidad_4007
19156036,Especialidad_5696
77754207,Especialidad_4249
25135579,Especialidad_6490
70686498,Especialidad_6242
67105210,Especialidad_5879
93299993,Especialidad_6899
91155324,Especialidad_3846
56934821,Especialidad_7938
45794512,Especialidad_1236
30025360,Especialidad_150
11457627,Especialidad_665
76300875,Especialidad_1702
50008976,Especialidad_1674
50050193,Especialidad_4022
70722569,Especialidad_5320
58790856,Especialidad_3247
73929078,Especialidad_9754
49886576,Especialidad_5093
69543767,Especialidad_4953
16980272,Especialidad_7072
93710103,Especialidad_8799
76770111,Especialidad_6648
39181790,Especialidad_2913
79702521,Especialidad_9266
11760202,Especialidad_342
83068442,Especialidad_4349
60857919,Especialidad_9391
55571461,Especialidad_7648
47526786,Especialidad_6585
63831302,Especialidad_7616
33542335,Especialidad_3670
85136461,Especialidad_6924
56881189,Especialidad_9333
21557754,Especialidad_6265
46022610,Especialidad_127
82947116,Especialidad_151
97110551,Especialidad_9875
86599878,Especialidad_6069
67897290,Especialidad_2141
68773540,Especialidad_1455
83709025,Especialidad_5931
17771464,Especialidad_6430
99186197,Especialidad_5173
74804660,Especialidad_8394
37462042,Especialidad_2668
84114719,Especialidad_5453
71811249,Especialidad_9665
93230697,Especialidad_7889
65068020,Especialidad_7106
57638501,Especialidad_6484
11976649,Especialidad_7926
94898955,Especialidad_4841
64549816,Especialidad_1883
63691292,Especialidad_1292
56647192,Especialidad_9331
67670455,Especialidad_1452
17660984,Especialidad_9327
50020266,Especialidad_1125
