id_turno,dni_personal,numero_cabina,fecha,turno
TURNO00000001,29872145,C0001,2025-06-01,mañana
TURNO00000002,10912608,C0002,2025-06-01,mañana
TURNO00000003,48165395,C0003,2025-06-01,mañana
TURNO00000004,17365947,C0004,2025-06-01,mañana
TURNO00000005,34254989,C0005,2025-06-01,mañana
TURNO00000006,50944706,C0006,2025-06-01,mañana
TURNO00000007,52218015,C0007,2025-06-01,mañana
TURNO00000008,42807943,C0008,2025-06-01,mañana
TURNO00000009,36832313,C0009,2025-06-01,mañana
TURNO00000010,42394594,C0010,2025-06-01,mañana
TURNO00000011,26789423,C0011,2025-06-01,mañana
TURNO00000012,24965096,C0012,2025-06-01,mañana
TURNO00000013,56934707,C0013,2025-06-01,mañana
TURNO00000014,25383627,C0014,2025-06-01,mañana
TURNO00000015,32155252,C0015,2025-06-01,mañana
TURNO00000016,93713976,C0016,2025-06-01,mañana
TURNO00000017,49846694,C0017,2025-06-01,mañana
TURNO00000018,31788974,C0018,2025-06-01,mañana
TURNO00000019,94488781,C0019,2025-06-01,mañana
TURNO00000020,57383846,C0020,2025-06-01,mañana
TURNO00000021,27906470,C0021,2025-06-01,mañana
TURNO00000022,72903206,C0022,2025-06-01,mañana
TURNO00000023,50977595,C0023,2025-06-01,mañana
TURNO00000024,77493159,C0024,2025-06-01,mañana
TURNO00000025,63167205,C0025,2025-06-01,mañana
TURNO00000026,47170152,C0026,2025-06-01,mañana
TURNO00000027,29366327,C0027,2025-06-01,mañana
TURNO00000028,48805980,C0028,2025-06-01,mañana
TURNO00000029,14251930,C0029,2025-06-01,mañana
TURNO00000030,60731253,C0030,2025-06-01,mañana
TURNO00000031,49531378,C0031,2025-06-01,mañana
TURNO00000032,93191124,C0032,2025-06-01,mañana
TURNO00000033,37620615,C0033,2025-06-01,mañana
TURNO00000034,26789423,C0034,2025-06-01,mañana
TURNO00000035,30379923,C0035,2025-06-01,mañana
TURNO00000036,64952516,C0036,2025-06-01,mañana
TURNO00000037,32908286,C0037,2025-06-01,mañana
TURNO00000038,71424929,C0038,2025-06-01,mañana
TURNO00000039,43061051,C0039,2025-06-01,mañana
TURNO00000040,42927484,C0040,2025-06-01,mañana
TURNO00000041,50088321,C0041,2025-06-01,mañana
TURNO00000042,54208981,C0042,2025-06-01,mañana
TURNO00000043,44164865,C0043,2025-06-01,mañana
TURNO00000044,56934707,C0044,2025-06-01,mañana
TURNO00000045,32908286,C0045,2025-06-01,mañana
TURNO00000046,99172477,C0046,2025-06-01,mañana
TURNO00000047,57815644,C0047,2025-06-01,mañana
TURNO00000048,30289268,C0048,2025-06-01,mañana
TURNO00000049,93343974,C0049,2025-06-01,mañana
TURNO00000050,34373222,C0050,2025-06-01,mañana
TURNO00000051,75051983,C0051,2025-06-01,mañana
TURNO00000052,40153493,C0052,2025-06-01,mañana
TURNO00000053,51866978,C0053,2025-06-01,mañana
TURNO00000054,23238077,C0054,2025-06-01,mañana
TURNO00000055,61651880,C0055,2025-06-01,mañana
TURNO00000056,23058806,C0056,2025-06-01,mañana
TURNO00000057,34373222,C0057,2025-06-01,mañana
TURNO00000058,74038931,C0058,2025-06-01,mañana
TURNO00000059,48805980,C0059,2025-06-01,mañana
TURNO00000060,44161765,C0060,2025-06-01,mañana
TURNO00000061,88115177,C0061,2025-06-01,mañana
TURNO00000062,68825333,C0062,2025-06-01,mañana
