id_persona,nombre,apellido,dni,fecha_nacimiento,sexo,correo,telefono
1,Michelle,James,38673870,1948-01-27,M,samantha63@example.com,900493941
2,Vincent,Powell,33602219,1968-07-10,M,danielle56@example.com,950998866
3,Jennifer,Callahan,51345877,2003-07-20,M,nwhitney@example.net,907973521
4,Jason,Bell,53953707,1986-06-04,M,dawn45@example.net,980010046
5,James,Sparks,58827798,1978-09-20,F,singhjason@example.com,956605433
6,Hannah,Lee,35415518,2003-07-07,M,tonigonzalez@example.org,928691252
7,Lauren,Rodgers,47120184,1980-01-06,M,obrown@example.com,968271693
8,John,Ortiz,15066060,1997-01-25,M,dhaynes@example.org,935033872
9,Ashley,Johnson,96035819,1996-05-13,M,daniel82@example.net,995464476
10,Julie,Murphy,78743414,2003-03-23,F,christopher73@example.com,963606833
11,Diana,Wilkins,53144398,1953-01-26,M,moseskenneth@example.org,904379422
12,Jesse,Cantrell,29397706,1969-08-14,M,thompsonpaul@example.com,928580478
13,Jeanette,Clark,88614080,1954-02-13,F,josephwarren@example.org,974627533
14,Kelly,Bennett,78036553,1989-07-17,M,hardingshane@example.org,938593912
15,Michael,Perez,51403699,1965-11-20,F,wallkara@example.com,966270766
16,Gregory,Barnes,13709569,1991-05-23,F,hectorduncan@example.net,960593597
17,Anna,Cochran,28975039,1998-10-30,M,lindawhite@example.com,904478521
18,Victor,Washington,26658975,1962-01-29,F,dannydaniels@example.com,917557223
19,Kimberly,Lee,86168320,1945-03-31,F,bryantkimberly@example.com,949479855
20,Kendra,Wells,90261808,1982-09-02,M,cheryllowery@example.org,944914062
21,Monica,Rivera,57479636,1945-12-19,M,sbarron@example.org,959820540
22,Deborah,Davis,23046184,1965-12-13,M,zgreen@example.net,960906710
23,Kelli,King,90918903,1943-12-09,F,ashleynelson@example.net,972299256
24,Adam,Thomas,91453807,1953-02-13,M,qharper@example.com,988078169
25,Brandy,Perez,66403979,1979-09-30,F,dbrandt@example.com,984027245
26,Amanda,Allison,75408487,1983-04-27,M,fryestephanie@example.com,933459006
27,Stephen,Burton,92838808,1942-04-02,M,agray@example.org,908952068
28,Matthew,Wilson,44854043,1951-12-19,F,graykenneth@example.net,954985719
29,Audrey,Owen,94337472,1977-05-14,M,catherinedavenport@example.org,947407848
